Kod;Nazwa;SB2004;SB2010;SB2021;SB2023
0201000;bolesławiecki;25.3;14.9;5.1;2.8
0202000;dzierżoniowski;31.7;22.3;5.5;5.5
0203000;głogowski;23.7;14.6;7.7;6.5
0204000;górowski;32.7;26.6;18.3;14.1
0205000;jaworski;30.7;23.6;10.8;9.9
0206000;karkonoski;27.1;22.9;10.5;8.5
0207000;kamiennogórski;29.3;22.1;6.6;6.1
0208000;kłodzki;32.9;24.7;12.5;11.7
0209000;legnicki;30.5;20.0;8.4;7.4
0210000;lubański;31.0;24.7;8.0;6.8
0211000;lubiński;17.6;9.7;4.0;3.7
0212000;lwówecki;33.7;24.7;9.5;8.7
0213000;milicki;24.6;17.6;5.8;6.2
0214000;oleśnicki;24.0;16.1;6.0;5.9
0215000;oławski;23.8;11.4;4.0;4.0
0216000;polkowicki;15.6;9.6;4.9;4.2
0217000;strzeliński;31.4;17.3;11.8;10.3
0218000;średzki;22.5;13.5;5.8;4.6
0219000;świdnicki;26.2;13.8;5.7;5.9
0220000;trzebnicki;26.8;13.6;5.1;5.0
0221000;wałbrzyski;29.1;19.1;13.9;11.5
0222000;wołowski;23.2;21.0;12.2;11.0
0223000;wrocławski;19.2;5.0;1.8;1.4
0224000;ząbkowicki;29.9;22.7;9.7;9.9
0225000;zgorzelecki;24.5;13.2;5.6;5.0
0226000;złotoryjski;34.9;26.6;13.8;13.2
0261000;Jelenia Góra;15.1;10.9;3.8;3.8
0262000;Legnica;20.3;9.2;5.2;4.4
0264000;Wrocław;12.3;5.5;1.9;1.6
0265000;Wałbrzych;;;4.8;4.3
0401000;aleksandrowski;29.7;20.6;13.5;11.0
0402000;brodnicki;25.6;15.9;6.7;6.6
0403000;bydgoski;21.1;12.7;3.9;3.1
0404000;chełmiński;28.1;22.0;12.8;11.7
0405000;golubsko-dobrzyński;28.1;21.2;12.1;10.2
0406000;grudziądzki;33.3;27.1;13.4;10.3
0407000;inowrocławski;29.6;21.7;12.4;10.4
0408000;lipnowski;29.8;28.9;15.6;12.8
0409000;mogileński;29.3;21.5;10.6;9.6
0410000;nakielski;33.9;22.9;11.6;9.8
0411000;radziejowski;26.1;22.9;18.7;15.6
0412000;rypiński;29.2;19.9;10.5;8.9
0413000;sępoleński;33.5;25.9;11.5;11.2
0414000;świecki;25.8;20.0;6.5;6.3
0415000;toruński;29.6;17.8;10.6;7.9
0416000;tucholski;29.9;19.8;10.6;10.6
0417000;wąbrzeski;31.0;21.0;11.7;12.1
0418000;włocławski;30.3;26.2;16.0;13.0
0419000;żniński;34.5;21.5;9.7;9.1
0461000;Bydgoszcz;11.4;8.0;2.5;2.2
0462000;Grudziądz;30.1;22.5;11.5;9.0
0463000;Toruń;13.2;8.2;4.0;3.1
0464000;Włocławek;21.8;19.5;8.7;8.2
0601000;bialski;18.4;14.0;11.1;8.8
0602000;biłgorajski;15.8;7.2;6.5;5.9
0603000;chełmski;22.5;17.7;17.5;12.2
0604000;hrubieszowski;20.2;18.3;18.1;14.7
0605000;janowski;16.7;13.9;13.8;11.8
0606000;krasnostawski;17.9;14.3;15.8;13.8
0607000;kraśnicki;16.4;15.7;11.5;11.0
0608000;lubartowski;20.3;15.9;13.8;11.7
0609000;lubelski;14.5;11.0;5.9;5.7
0610000;łęczyński;18.8;11.5;6.3;5.4
0611000;łukowski;19.5;11.0;4.3;3.9
0612000;opolski;23.5;16.3;9.1;9.3
0613000;parczewski;17.2;14.4;8.5;7.9
0614000;puławski;17.2;10.9;6.6;5.7
0615000;radzyński;17.3;13.9;8.2;7.5
0616000;rycki;20.1;12.2;7.9;6.7
0617000;świdnicki;20.8;18.1;9.7;7.3
0618000;tomaszowski;19.9;14.0;9.9;9.5
0619000;włodawski;23.8;23.0;17.6;15.3
0620000;zamojski;17.5;14.5;12.9;10.5
0661000;Biała Podlaska;20.5;13.9;9.1;7.3
0662000;Chełm;25.7;15.3;10.2;8.2
0663000;Lublin;12.4;9.6;5.2;4.3
0664000;Zamość;20.2;15.1;8.9;7.8
0801000;gorzowski;26.0;11.7;4.1;3.3
0802000;krośnieński;36.9;24.6;7.9;6.3
0803000;międzyrzecki;27.0;21.7;7.6;7.0
0804000;nowosolski;36.7;25.7;5.2;5.5
0805000;słubicki;26.4;19.0;2.5;2.2
0806000;strzelecko-drezdenecki;35.0;23.2;10.4;8.9
0807000;sulęciński;25.3;14.7;4.7;4.5
0808000;świebodziński;18.8;8.8;3.2;2.5
0809000;zielonogórski;27.0;13.9;8.6;6.6
0810000;żagański;34.3;27.9;7.1;5.2
0811000;żarski;31.2;17.4;5.9;5.0
0812000;wschowski;24.1;16.4;8.5;7.5
0861000;Gorzów Wielkopolski;17.9;8.1;2.6;2.2
0862000;Zielona Góra;13.2;7.7;3.5;2.9
1001000;bełchatowski;17.2;10.4;5.2;4.7
1002000;kutnowski;26.5;17.4;8.5;7.8
1003000;łaski;19.6;16.8;8.2;7.4
1004000;łęczycki;20.5;14.0;6.5;5.5
