Kod;Nazwa;sb2004;sb2010;sb2023
3001000;Powiat chodzieski;23,6;15,2;7,5
3002000;Powiat czarnkowsko-trzcianecki;23,8;15,0;4,8
3003000;Powiat gnieźnieński;24,0;12,7;4,5
3004000;Powiat gostyński;18,6;12,5;5,1
3005000;Powiat grodziski;10,8;8,1;4,6
3006000;Powiat jarociński;24,2;15,2;4,3
3007000;Powiat kaliski;17,2;8,5;3,1
3008000;Powiat kępiński;8,9;5,6;1,6
3009000;Powiat kolski;24,1;14,4;3,9
3010000;Powiat koniński;27,5;18,1;8,3
3011000;Powiat kościański;17,2;9,0;3,0
3012000;Powiat krotoszyński;18,9;10,5;2,6
3013000;Powiat leszczyński;15,6;9,4;2,5
3014000;Powiat międzychodzki;21,9;8,7;4,6
3015000;Powiat nowotomyski;14,6;6,4;2,5
3016000;Powiat obornicki;21,1;10,3;3,0
3017000;Powiat ostrowski;20,4;11,8;3,0
3018000;Powiat ostrzeszowski;13,7;9,7;3,7
3019000;Powiat pilski;19,0;11,0;4,9
3020000;Powiat pleszewski;24,0;13,1;3,3
3021000;Powiat poznański;9,7;3,5;1,0
3022000;Powiat rawicki;12,5;11,7;3,6
3023000;Powiat słupecki;25,4;16,4;7,2
3024000;Powiat szamotulski;16,1;11,3;3,3
3025000;Powiat średzki;21,4;13,9;5,6
3026000;Powiat śremski;15,6;8,5;2,3
3027000;Powiat turecki;22,6;11,9;4,1
3028000;Powiat wągrowiecki;26,0;18,7;5,5
3029000;Powiat wolsztyński;11,4;6,4;1,9
3030000;Powiat wrzesiński;21,8;13,6;3,5
3031000;Powiat złotowski;26,9;18,8;5,0
3061000;Powiat m. Kalisz;14,7;8,6;3,2
3062000;Powiat m. Konin;18,4;13,5;5,6
3063000;Powiat m. Leszno;13,4;8,5;2,9
3064000;Powiat m. Poznań;6,7;3,6;1,0
