"CITY","STATE","STATE_CODE","COUNTY_NAME","COUNTY_CODE"
"Austin","Texas","48","Travis","48453"
"Chicago ","Illinois","17","Cook","17031"
"Louisville","Kentucky","21","Jefferson","21111"
"San Francisco","California","06","San Francisco","06075"
"Memphis","Tennessee","47","Shelby","47157"
"Seattle","Washington","53","King","53033"
"Tucson","Arizona","04","Pima","04019"
"Detroit","Michigan","26","Wayne","26163"
"Kansas City","Missouri","29","Jackson","29095"
"Los Angeles","California","06","Los Angeles","06037"
"Nashville","Tennessee","47","Davidson","47037"
"Virginia Beach","Virginia","51","Virginia Beach","51819"
"St Louis","Missouri","29","St. Louis","29519"
"New York","New York","36","New York","36061"
"New York","New York","36","Bronx","36005"
"New York","New York","36","Queens","36081"
"New York","New York","36","Kings","36041"
"Boston ","Massachusetts","25","Suffolk","25025"
"Houston ","Texas","48","Harris","48201"
"Minneapolis","Minnesota","27","Hennepin","27053"
"Charlotte","North Carolina","37","Mecklenburg","37119"
